function_name|parameter_name|reporting_level|check_if_exists|Value_BRA|Value_ITA|Value_TZA|Problem|Action
get_country_all_inds|mspa_islets_2010_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2010 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_islets_2015_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2015 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_margins_1995_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_1995 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_margins_2000_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2000and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_margins_2005_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2005 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_margins_2010_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2010 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_margins_2015_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2015 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_non_natural_1995_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_1995 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_non_natural_2000_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2000and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_non_natural_2005_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2005 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_non_natural_2010_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2010 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_non_natural_2015_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2015 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_perforation_1995_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_1995 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_perforation_2000_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2000and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_perforation_2005_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2005 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_perforation_2010_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2010 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mspa_perforation_2015_km2|CL|#N/A|#N/A|#N/A|#N/A|missing field|to be aggregated from results_202009.r_stats_cep_mspa_lc_2015 and added to indicators.sh and outputs.sh scripts
get_country_all_inds|mta_perc|CL|mta_perc|82.35|94.73|85.76||
get_country_all_inds|protconn|CL|protconn|20.19145099|8.947919604|21.20836633||
get_country_all_inds|status|C|status|NULL|NULL|NULL||
get_country_all_inds|water_p_1985_km2|CL|water_p_1985_km2|90851.50809|2944.080326|56550.15519||
get_country_all_inds|water_p_netchange_km2|CL|water_p_netchange_km2|6579.751456|205.1651667|-416.3486568||
get_country_all_inds|water_p_netchange_perc|CL|water_p_netchange_perc|7.242313963|6.968735358|-0.736246709||
get_country_all_inds|water_p_now_km2|CL|water_p_now_km2|97431.25954|3149.245493|56133.80654||
get_country_all_inds|water_p_prot_1985_km2|CL|water_p_prot_1985_km2|24230.74257|1511.591648|1738.769563||
get_country_all_inds|water_p_prot_netchange_km2|CL|water_p_prot_netchange_km2|131.3183038|104.595303|120.3021145||
get_country_all_inds|water_p_prot_netchange_perc|CL|water_p_prot_netchange_perc|0.541949152|6.919547556|6.918807246||
get_country_all_inds|water_p_prot_now_km2|CL|water_p_prot_now_km2|24362.06087|1616.186951|1859.071677||
get_country_all_inds|water_s_1985_km2|CL|water_s_1985_km2|34012.709|684.587449|1988.827256||
get_country_all_inds|water_s_netchange_km2|CL|water_s_netchange_km2|16274.11892|202.9016168|3182.707366||
get_country_all_inds|water_s_netchange_perc|CL|water_s_netchange_perc|47.84717066|29.63852421|160.0293518||
get_country_all_inds|water_s_now_km2|CL|water_s_now_km2|50286.82791|887.4890658|5171.534622||
get_country_all_inds|water_s_prot_1985_km2|CL|water_s_prot_1985_km2|9772.731341|209.6370076|1081.302456||
get_country_all_inds|water_s_prot_netchange_km2|CL|water_s_prot_netchange_km2|4572.882833|103.3913594|585.8585079||
get_country_all_inds|water_s_prot_netchange_perc|CL|water_s_prot_netchange_perc|46.79226997|49.3192307|54.18081726||
get_country_all_inds|water_s_prot_now_km2|CL|water_s_prot_now_km2|14345.61417|313.028367|1667.160964||
